,text
27,"['democrat', 'final', 'realiz', 'desper', 'need', 'border', 'secur', 'wall', 'southern', 'border', 'need', 'stop', 'drug', 'human', 'traffick', 'gang', 'member', 'amp', 'crimin', 'come', 'countri', 'dem', 'realiz', 'peopl', 'get', 'paid', 'democrat']"
28,"['return', 'visit', 'troop', 'iraq', 'germani', 'one', 'thing', 'certain', 'incred', 'peopl', 'repres', 'countri', 'peopl', 'know', 'win']"
29,"['melania', 'honor', 'visit', 'incred', 'troop', 'al', 'asad', 'air', 'base', 'iraq', 'god', 'bless', 'u']"
30,"['hope', 'everyon', 'even', 'fake', 'news', 'media', 'great', 'christma', 'countri', 'well', 'secur', 'border', 'make', 'great', 'new', 'trade', 'deal', 'bring', 'troop', 'back', 'home', 'final', 'put', 'america', 'first', 'merri', 'christma', 'maga']"
31,"['merri', 'christma']"
33,"['oval', 'offic', 'amp', 'gave', 'mile', 'long', 'contract', 'anoth', 'larg', 'section', 'wall', 'texa', 'alreadi', 'build', 'renov', 'mani', 'mile', 'wall', 'complet', 'democrat', 'must', 'end', 'shutdown', 'finish', 'fund', 'billion', 'dollar', 'amp', 'live', 'save']"
34,"['christma', 'eve', 'brief', 'team', 'work', 'north', 'korea', 'progress', 'made', 'look', 'forward', 'next', 'summit', 'chairman', 'kim']"
35,"['alon', 'poor', 'white', 'hous', 'wait', 'democrat', 'come', 'back', 'make', 'deal', 'desper', 'need', 'border', 'secur', 'point', 'democrat', 'want', 'make', 'deal', 'cost', 'countri', 'money', 'border', 'wall', 'talk', 'crazi']"
36,"['saudi', 'arabia', 'agre', 'spend', 'necessari', 'money', 'need', 'help', 'rebuild', 'syria', 'instead', 'unit', 'state', 'see', 'nice', 'immens', 'wealthi', 'countri', 'help', 'rebuild', 'neighbor', 'rather', 'great', 'countri', 'u', 'mile', 'away', 'thank', 'saudi']"
37,"['wall', 'differ', 'billion', 'dollar', 'border', 'secur', 'complet', 'wall', 'built', 'shutdown', 'money', 'plu', 'fund', 'alreadi', 'hand', 'report', 'inaccur', 'point', 'problem', 'without', 'wall', 'much', 'rest', 'dollar', 'wast']"
38,"['never', 'lash', 'act', 'attorney', 'gener', 'u', 'man', 'great', 'respect', 'made', 'stori', 'one', 'mani', 'fake', 'news', 'media']"
39,"['problem', 'economi', 'fed', 'feel', 'market', 'understand', 'necessari', 'trade', 'war', 'strong', 'dollar', 'even', 'democrat', 'shutdown', 'border', 'fed', 'like', 'power', 'golfer', 'score', 'touch', 'putt']"
40,"['america', 'respect']"
41,"['sympath', 'brett', 'mcgurk', 'rememb', 'obama', 'appointe', 'respons', 'load', 'airplan', 'billion', 'dollar', 'cash', 'amp', 'send', 'iran', 'part', 'horrif', 'iran', 'nuclear', 'deal', 'termin', 'approv', 'littl', 'bob', 'corker']"
42,"['substanti', 'subsid', 'militari', 'mani', 'rich', 'countri', 'world', 'time', 'countri', 'take', 'total', 'advantag', 'u', 'taxpay', 'trade', 'gener', 'matti', 'see', 'problem', 'fix']"
43,"['senat', 'think', 'like', 'appreci', 'alli', 'countri', 'wrong', 'like', 'howev', 'mani', 'countri', 'take', 'advantag', 'friendship', 'unit', 'state', 'militari', 'protect', 'trade']"
44,"['virtual', 'everi', 'democrat', 'deal', 'today', 'strongli', 'support', 'border', 'wall', 'fenc', 'made', 'import', 'part', 'campaign', 'peopl', 'drug', 'pour', 'countri', 'uncheck', 'turn', 'desper', 'need']"
45,"['presid', 'erdogan', 'turkey', 'strongli', 'inform', 'erad', 'whatev', 'left', 'isi', 'syria', 'man', 'plu', 'turkey', 'right', 'next', 'door', 'troop', 'come', 'home']"
46,"['presid', 'remark', 'doubt', 'thrive', 'new', 'environ', 'constant', 'remind', 'popul', 'thank', 'tammi', 'bruce', 'steve', 'hilton', 'presidenti', 'harass', 'begin']"
47,"['import', 'way', 'stop', 'gang', 'drug', 'human', 'traffick', 'massiv', 'crime', 'southern', 'border', 'need', 'border', 'secur', 'everyon', 'know', 'border', 'secur', 'without', 'wall', 'drone', 'amp', 'technolog', 'bell', 'whistl', 'safeti', 'america']"
48,"['mitch', 'mcconnel', 'told', 'group', 'peopl', 'u', 'senat', 'year', 'last', 'two', 'far', 'best', 'amp', 'product', 'career', 'tax', 'amp', 'regul', 'cut', 'va', 'choic', 'farm', 'bill', 'crimin', 'justic', 'reform', 'judgeship', 'amp', 'much', 'great']"
49,"['job', 'america', 'replac', 'regim', 'around', 'world', 'presid', 'trump', 'recogn', 'iraq', 'biggest', 'foreign', 'polici', 'disast', 'last', 'sever', 'decad', 'right', 'gener', 'still', 'get', 'mistak']"
51,"['thank', 'proud', 'presid', 'exactli', 'promis', 'think', 'peopl', 'agre', 'war', 'long', 'mani', 'place', 'spent', 'sever', 'trillion', 'dollar', 'war', 'everywher', 'differ', 'got', 'elect']"
52,"['bob', 'corker', 'respons', 'give', 'us', 'horribl', 'iran', 'nuclear', 'deal', 'end', 'yet', 'badmouth', 'want', 'bring', 'young', 'peopl', 'safe', 'back', 'home', 'bob', 'want', 'run', 'ask', 'endors', 'said', 'game', 'maga', 'love', 'tennesse']"
53,"['senat', 'bob', 'corker', 'state', 'priveledg', 'serv', 'senat', 'twelv', 'year', 'told', 'peopl', 'state', 'serv', 'two', 'term', 'true', 'want', 'run', 'poll', 'number', 'tank', 'endors']"
