,text
252,"['could', 'somebodi', 'pleas', 'explain', 'democrat', 'need', 'vote', 'countri', 'loss', 'billion', 'dollar', 'year', 'illeg', 'immigr', 'includ', 'terribl', 'drug', 'flow', 'top', 'border', 'secur', 'includ', 'wall', 'billion', 'pay', 'two', 'month', 'get', 'done']"
253,"['fair', 'deal', 'abl', 'made', 'china', 'one', 'mani', 'thing', 'know', 'must', 'final', 'done', 'happili', 'sign', 'let', 'negoti', 'begin', 'make', 'america', 'great']"
254,"['tariff', 'man', 'peopl', 'countri', 'come', 'raid', 'great', 'wealth', 'nation', 'want', 'pay', 'privileg', 'alway', 'best', 'way', 'max', 'econom', 'power', 'right', 'take', 'billion', 'tariff', 'make', 'america', 'rich']"
255,"['see', 'whether', 'real', 'deal', 'china', 'actual', 'possibl', 'get', 'done', 'china', 'suppos', 'start', 'buy', 'agricultur', 'product', 'immedi', 'presid', 'xi', 'want', 'deal', 'happen', 'probabl', 'rememb']"
256,"['negoti', 'china', 'alreadi', 'start', 'unless', 'extend', 'end', 'day', 'date', 'wonder', 'warm', 'dinner', 'presid', 'xi', 'argentina', 'bob', 'lighthiz', 'work', 'close', 'steve', 'mnuchin', 'larri', 'kudlow', 'wilbur', 'ross', 'peter', 'navarro']"
257,"['look', 'forward', 'wonder', 'bush', 'famili', 'blair', 'hous', 'today', 'former', 'first', 'ladi', 'come', 'white', 'hous', 'morn', 'given', 'tour', 'christma', 'decor', 'melania', 'eleg', 'amp', 'precis', 'last', 'two', 'day', 'remark']"
258,['rememb']
259,"['congratul', 'newli', 'inaugur', 'mexican', 'presid', 'tremend', 'polit', 'victori', 'great', 'support', 'mexican', 'peopl', 'work', 'well', 'togeth', 'mani', 'year', 'come']"
260,"['look', 'forward', 'bush', 'famili', 'pay', 'respect', 'presid', 'georg', 'h', 'w', 'bush']"
261,"['bob', 'mueller', 'much', 'differ', 'man', 'peopl', 'think', 'control', 'band', 'angri', 'democrat', 'want', 'truth', 'want', 'lie', 'truth', 'bad', 'mission']"
262,"['never', 'testifi', 'trump', 'statement', 'recent', 'made', 'roger', 'stone', 'essenti', 'state', 'forc', 'rogu', 'control', 'prosecutor', 'make', 'lie', 'stori', 'presid', 'trump', 'nice', 'know', 'peopl', 'still', 'gut']"
263,"['wife', 'father', 'law', 'money', 'scott', 'free', 'lie', 'outcom', 'opinion', 'serv', 'full', 'complet', 'sentenc']"
264,"['michael', 'cohen', 'ask', 'judg', 'prison', 'time', 'mean', 'terribl', 'unrel', 'trump', 'thing', 'fraud', 'big', 'loan', 'taxi', 'etc', 'serv', 'long', 'prison', 'term', 'make', 'stori', 'get', 'great', 'amp', 'alreadi', 'reduc', 'deal', 'get']"
265,"['would', 'save', 'billion', 'dollar', 'democrat', 'would', 'give', 'us', 'vote', 'build', 'wall', 'either', 'way', 'peopl', 'allow', 'countri', 'illeg', 'close', 'entir', 'southern', 'border', 'necessari', 'also', 'stop', 'drug']"
266,"['certain', 'time', 'futur', 'presid', 'xi', 'togeth', 'presid', 'putin', 'russia', 'start', 'talk', 'meaning', 'halt', 'becom', 'major', 'uncontrol', 'arm', 'race', 'u', 'spent', 'billion', 'dollar', 'year', 'crazi']"
267,"['presid', 'xi', 'strong', 'person', 'relationship', 'two', 'peopl', 'bring', 'massiv', 'posit', 'chang', 'trade', 'far', 'beyond', 'two', 'great', 'nation', 'solut', 'north', 'korea', 'great', 'thing', 'china']"
268,"['farmer', 'big', 'fast', 'beneficiari', 'deal', 'china', 'intend', 'start', 'purchas', 'agricultur', 'product', 'immedi', 'make', 'finest', 'cleanest', 'product', 'world', 'china', 'want', 'farmer', 'love']"
269,"['meet', 'argentina', 'presid', 'xi', 'china', 'extraordinari', 'one', 'relat', 'china', 'taken', 'big', 'leap', 'forward', 'good', 'thing', 'happen', 'deal', 'great', 'strength', 'china', 'likewis', 'much', 'gain', 'deal', 'complet', 'level', 'field']"
270,"['china', 'agre', 'reduc', 'remov', 'tariff', 'car', 'come', 'china', 'u', 'current', 'tariff']"
271,"['week', 'jew', 'around', 'world', 'celebr', 'miracl', 'hanukkah', 'melania', 'send', 'best', 'wish', 'bless', 'happi', 'hanukkah']"
272,"['howev', 'respect', 'bush', 'famili', 'former', 'presid', 'georg', 'h', 'w', 'bush', 'wait', 'funer', 'press', 'confer']"
273,"['much', 'look', 'forward', 'press', 'confer', 'prior', 'leav', 'argentina', 'great', 'success', 'deal', 'variou', 'countri', 'leader', 'g']"
274,"['presid', 'georg', 'h', 'w', 'bush', 'led', 'long', 'success', 'beauti', 'life', 'whenev', 'saw', 'absolut', 'joy', 'life', 'true', 'pride', 'famili', 'accomplish', 'great', 'begin', 'end', 'truli', 'wonder', 'man', 'miss']"
276,"['statement', 'presid', 'donald', 'j', 'trump', 'first', 'ladi', 'melania', 'trump', 'pass', 'former', 'presid', 'georg', 'h', 'w', 'bush']"
280,"['watch', 'enjoy']"
281,"['great', 'day', 'g', 'summit', 'bueno', 'air', 'argentina', 'thank']"
282,"['great', 'review', 'usmca', 'sooo', 'much', 'better', 'nafta']"
283,"['great', 'peopl', 'alaska', 'hit', 'hard', 'big', 'one', 'pleas', 'follow', 'direct', 'highli', 'train', 'profession', 'help', 'feder', 'govern', 'spare', 'expens', 'god', 'bless']"
284,"['sign', 'one', 'import', 'largest', 'trade', 'deal', 'u', 'world', 'histori', 'unit', 'state', 'mexico', 'canada', 'work', 'well', 'togeth', 'craft', 'great', 'document', 'terribl', 'nafta', 'soon', 'gone', 'usmca', 'fantast']"
285,['usmca']
286,"['lightli', 'look', 'build', 'somewher', 'russia', 'put', 'zero', 'money', 'zero', 'guarante', 'project', 'witch', 'hunt']"
287,"['oh', 'get', 'good', 'develop', 'happili', 'live', 'life', 'see', 'countri', 'go', 'wrong', 'direct', 'put', 'mildli', 'odd', 'decid', 'run', 'presid', 'amp', 'continu', 'run', 'busi', 'legal', 'amp', 'cool', 'talk', 'campaign', 'trail']"
288,"['arriv', 'argentina', 'busi', 'two', 'day', 'plan', 'import', 'meet', 'schedul', 'throughout', 'great', 'countri', 'extrem', 'well', 'repres', 'product']"
289,"['alan', 'dershowitz', 'crime', 'mueller', 'author', 'rove', 'commission', 'see', 'evid', 'crime', 'illeg', 'hoax', 'end', 'immedi', 'mueller', 'refus', 'look', 'real', 'crime', 'side', 'ig', 'report']"
290,"['demonstr', 'robert', 'mueller', 'partisan', 'evid', 'whiff', 'collus', 'trump', 'russian', 'russian', 'project', 'legal', 'trump', 'tower', 'meet', 'son', 'perfectli', 'legal', 'involv', 'hack', 'gregg', 'jarrett', 'total', 'witch', 'hunt']"
291,"['land', 'argentina', 'melania', 'g', 'summit']"
292,"['rnc', 'chair', 'ronna', 'mcdaniel', 'oversaw', 'histori', 'defi', 'gain', 'senat', 'unpreced', 'fundrais', 'strength', 'ask', 'serv', 'anoth', 'term', 'elect', 'one', 'better', 'job']"
293,"['work', 'hard', 'go', 'get', 'better']"
294,"['new', 'book', 'come', 'forget', 'two', 'great', 'origin', 'written', 'pirro', 'book', 'went', 'go', 'get', 'phoni', 'witch', 'hunt', 'well', 'explain']"
295,"['new', 'book', 'spygat', 'attempt', 'sabotag', 'donald', 'j', 'trump', 'terrif', 'tough', 'smart', 'realli', 'get', 'book', 'sale', 'highli', 'recommend']"
296,"['realli', 'done', 'great', 'job', 'captur', 'long', 'held', 'view', 'idea', 'book', 'sale', 'terrif', 'read', 'realli', 'interest', 'subject']"
297,"['arthur', 'laffer', 'two', 'talent', 'men', 'complet', 'incred', 'book', 'econom', 'polici', 'call', 'trumponom']"
298,"['written', 'absolut', 'fascin', 'book', 'back', 'game', 'world', 'c', 'polit', 'experienc', 'much', 'short', 'period', 'time', 'peopl', 'braveri', 'courag', 'come', 'way', 'back', 'big', 'power', 'great', 'person']"
299,"['argentina', 'presid', 'vladimir', 'putin', 'look', 'forward', 'meaning', 'summit', 'soon', 'situat', 'resolv']"
300,"['base', 'fact', 'ship', 'sailor', 'return', 'ukrain', 'russia', 'decid', 'would', 'best', 'parti', 'concern', 'cancel', 'previous', 'schedul', 'meet']"
301,"['billion', 'dollar', 'pour', 'coffer', 'u', 'tariff', 'charg', 'china', 'long', 'way', 'go', 'compani', 'want', 'pay', 'tariff', 'build', 'u', 'otherwis', 'let', 'make', 'countri', 'richer', 'ever']"
302,"['illeg', 'joseph', 'mccarthi', 'style', 'witch', 'hunt', 'one', 'shatter', 'mani', 'innoc', 'live', 'ever', 'end', 'go', 'forev', 'wast', 'possibl', 'proven', 'one', 'thing', 'collus', 'russia', 'ridicul']"
303,"['ever', 'see', 'investig', 'search', 'crime', 'time', 'mueller', 'angri', 'democrat', 'even', 'look', 'atroci', 'perhap', 'subvers', 'crime', 'commit', 'crook', 'hillari', 'clinton', 'democrat', 'total', 'disgrac']"
304,"['gener', 'motor', 'counter', 'auto', 'compani', 'big', 'steel', 'open', 'renov', 'plant', 'countri', 'auto', 'compani', 'pour', 'u', 'includ', 'bmw', 'announc', 'major', 'new', 'plant', 'u', 'boom']"
305,"['much', 'happen', 'discredit', 'witch', 'hunt', 'total', 'hoax', 'studi', 'year']"
306,"['sebastian', 'gorka', 'talent', 'man', 'got', 'know', 'well', 'work', 'white', 'hous', 'written', 'excel', 'book', 'fight', 'much', 'learn', 'good', 'read']"
307,"['behalf', 'melania', 'entir', 'trump', 'famili', 'want', 'wish', 'merri', 'christma', 'may', 'christma', 'season', 'bring', 'peac', 'heart', 'warmth', 'home', 'cheer', 'spirit', 'joy', 'world', 'nctl']"
308,"['steel', 'dynam', 'announc', 'build', 'brand', 'new', 'million', 'ton', 'steel', 'mill', 'southwest', 'creat', 'good', 'pay', 'u', 'job', 'steel', 'job', 'come', 'back', 'america', 'like', 'predict', 'congratul', 'steel', 'dynam']"
309,"['g', 'would', 'close', 'plant', 'ohio', 'michigan', 'amp', 'maryland', 'get', 'smart', 'congress', 'also', 'countri', 'send', 'us', 'car', 'taken', 'advantag', 'u', 'decad', 'presid', 'great', 'power', 'issu', 'g', 'event', 'studi']"
310,"['reason', 'small', 'truck', 'busi', 'u', 'go', 'favorit', 'mani', 'year', 'tariff', 'put', 'small', 'truck', 'come', 'countri', 'call', 'chicken', 'tax', 'car', 'come', 'mani', 'car', 'would', 'built']"
318,"['disgust', 'fake', 'news', 'everyth', 'within', 'power', 'report', 'way', 'least', 'major', 'player', 'intim', 'angri', 'mueller', 'gang', 'dem', 'vicious', 'tell', 'wit', 'lie', 'fact', 'amp', 'get', 'relief', 'joseph', 'mccarthi', 'era']"
319,"['congratul', 'senat', 'cindi', 'hyde', 'smith', 'big', 'win', 'great', 'state', 'mississippi', 'proud']"
320,"['brenda', 'snipe', 'charg', 'vote', 'broward', 'counti', 'florida', 'spot', 'wear', 'beauti', 'dress', 'vote', 'sign', 'kid', 'fine', 'honor', 'highli', 'respect', 'vote', 'tactician']"
321,"['mueller', 'witch', 'hunt', 'total', 'disgrac', 'look', 'supposedli', 'stolen', 'crook', 'hillari', 'clinton', 'email', 'even', 'though', 'want', 'look', 'dnc', 'server', 'interest', 'email', 'hillari', 'delet', 'amp', 'acid', 'wash', 'get', 'congression', 'subpoena']"
322,"['disappoint', 'gener', 'motor', 'ceo', 'mari', 'barra', 'close', 'plant', 'ohio', 'michigan', 'maryland', 'noth', 'close', 'mexico', 'amp', 'china', 'u', 'save', 'gener', 'motor', 'thank', 'get', 'look', 'cut', 'subsidi', 'includ']"
323,"['electr', 'car', 'gener', 'motor', 'made', 'big', 'china', 'bet', 'year', 'ago', 'built', 'plant', 'mexico', 'think', 'bet', 'go', 'pay', 'protect', 'america', 'worker']"
324,"['poll', 'open', 'mississippi', 'need', 'cindi', 'hyde', 'smith', 'washington', 'go', 'vote', 'thank']"
325,"['terribl', 'gang', 'angri', 'democrat', 'look', 'past', 'look', 'come', 'witch', 'hunt', 'continu', 'got', 'noth', 'ruin', 'live', 'server', 'let', 'terribl', 'peopl', 'go', 'back', 'clinton', 'foundat', 'justic', 'depart']"
326,"['fake', 'news', 'media', 'build', 'bob', 'mueller', 'saint', 'actual', 'exact', 'opposit', 'tremend', 'damag', 'crimin', 'justic', 'system', 'look', 'one', 'side', 'hero', 'come', 'mueller']"
327,"['phoni', 'witch', 'hunt', 'continu', 'mueller', 'gang', 'angri', 'dem', 'look', 'one', 'side', 'wait', 'come', 'horribl', 'amp', 'vicious', 'treat', 'peopl', 'ruin', 'live', 'refus', 'lie', 'mueller', 'conflict', 'prosecutor', 'gone', 'rogu']"
331,"['start', 'today', 'elect', 'decemb', 'th', 'tough', 'crime', 'border', 'love', 'militari', 'vet', 'great', 'job']"
332,"['brad', 'raffensperg', 'fantast', 'secretari', 'state', 'georgia', 'work', 'close', 'realli', 'import', 'get', 'vote', 'brad', 'earli', 'vote']"
333,"['cnn', 'great', 'unit', 'state', 'base', 'rate', 'outsid', 'u', 'littl', 'competit', 'throughout', 'world', 'cnn', 'power', 'voic', 'portray', 'unit', 'state', 'unfair']"
334,"['fals', 'way', 'someth', 'done', 'includ', 'possibl', 'unit', 'state', 'start', 'worldwid', 'network', 'show', 'world', 'way', 'realli', 'great']"
335,"['ten', 'year', 'anniversari', 'mumbai', 'terror', 'attack', 'u', 'stand', 'peopl', 'india', 'quest', 'justic', 'attack', 'kill', 'innoc', 'includ', 'six', 'american', 'never', 'let', 'terrorist', 'win', 'even', 'come', 'close', 'win']"
336,"['hundr', 'peopl', 'close', 'involv', 'campaign', 'never', 'met', 'saw', 'spoke', 'russian', 'period', 'mani', 'campaign', 'worker', 'peopl', 'insid', 'begin', 'ask', 'call', 'want', 'collus', 'amp', 'mueller', 'know']"
337,"['mueller', 'final', 'report', 'cover', 'conflict', 'interest', 'preambl', 'recommend', 'action', 'crime', 'mani', 'kind', 'side', 'whatev', 'happen', 'podesta', 'put', 'statement']"
338,"['mexico', 'move', 'flag', 'wave', 'migrant', 'mani', 'stone', 'cold', 'crimin', 'back', 'countri', 'plane', 'bu', 'anyway', 'want', 'come', 'u', 'close', 'border', 'perman', 'need', 'congress', 'fund', 'wall']"
339,"['children', 'parent', 'bush', 'etc', 'polici', 'law', 'tri', 'keep', 'togeth', 'problem', 'vast', 'number', 'addit', 'peopl', 'storm', 'border', 'obama', 'seper', 'fine', 'trump', 'fake', 'minut']"
340,"['minut', 'phoni', 'stori', 'child', 'separ', 'know', 'exact', 'polici', 'obama', 'administr', 'fact', 'pictur', 'children', 'jail', 'use', 'fake', 'media', 'show', 'bad', 'cruel', 'year', 'obama', 'separ']"
341,"['clinton', 'foundat', 'donat', 'drop', 'show', 'illeg', 'play', 'power', 'game', 'monet', 'polit', 'influenc', 'foundat', 'tenur', 'state', 'depart', 'put', 'servic', 'clinton', 'foundat', 'andrew', 'mccarthi']"
342,"['europ', 'pay', 'fair', 'share', 'militari', 'protect', 'european', 'union', 'mani', 'year', 'taken', 'advantag', 'us', 'trade', 'live', 'militari', 'commit', 'nato', 'thing', 'must', 'chang', 'fast']"
343,"['gener', 'anthoni', 'tata', 'presid', 'trump', 'man', 'word', 'amp', 'said', 'go', 'tough', 'border', 'tough', 'border', 'right', 'strengthen', 'border', 'face', 'unpreced', 'threat', 'right', 'move', 'presid', 'trump', 'thank', 'gener']"
344,"['mississippi', 'vote', 'tuesday', 'respect', 'need', 'washington', 'thank']"
345,"['great', 'oil', 'price', 'fall', 'thank', 'presid', 'add', 'like', 'big', 'tax', 'cut', 'good', 'econom', 'news', 'inflat', 'listen', 'fed']"
346,"['would', 'smart', 'mexico', 'would', 'stop', 'caravan', 'long', 'get', 'southern', 'border', 'origin', 'countri', 'would', 'let', 'form', 'way', 'get', 'certain', 'peopl', 'countri', 'dump', 'u', 'longer', 'dem', 'creat', 'problem', 'cross']"
347,"['larg', 'violent', 'french', 'protest', 'take', 'account', 'badli', 'unit', 'state', 'treat', 'trade', 'european', 'union', 'fair', 'reason', 'payment', 'great', 'militari', 'protect', 'topic', 'must', 'remedi', 'soon']"
348,"['gulfport', 'tupelo', 'mississippi', 'monday', 'night', 'two', 'ralli', 'senat', 'hyde', 'smith', 'import', 'elect', 'tuesday', 'outstand', 'person', 'strong', 'border', 'crime', 'militari', 'great', 'vet', 'healthcar', 'amp', 'nd', 'need', 'c']"
349,"['victor', 'davi', 'hanson', 'good', 'interest', 'guest', 'mark', 'levin', 'wrote', 'highli', 'tout', 'book', 'call', 'second', 'world', 'war', 'new', 'book', 'soon', 'come', 'call', 'case', 'trump', 'recommend']"
350,"['stay', 'mexico', 'reason', 'becom', 'necessari', 'close', 'southern', 'border', 'way', 'unit', 'state', 'decad', 'abus', 'put', 'costli', 'danger', 'situat', 'anymor']"
351,"['migrant', 'southern', 'border', 'allow', 'unit', 'state', 'claim', 'individu', 'approv', 'court', 'allow', 'come', 'countri', 'legal', 'strong', 'polici', 'catch', 'detain', 'releas', 'u']"
354,"['extrem', 'happi', 'proud', 'job', 'done', 'secretari', 'fake', 'news', 'like', 'write', 'stori', 'contrari', 'quot', 'phoni', 'sourc', 'jealou', 'peopl', 'true', 'never', 'like', 'ask', 'quot', 'b', 'c', 'would', 'kill', 'stori']"
355,"['realli', 'good', 'crimin', 'justic', 'reform', 'true', 'shot', 'major', 'bipartisan', 'support', 'mitch', 'mcconnel', 'real', 'chanc', 'someth', 'badli', 'need', 'countri', 'alreadi', 'pass', 'big', 'vote', 'hous', 'would', 'major', 'victori']"
356,"['realli', 'good', 'crimin', 'justic', 'reform', 'true', 'shot', 'major', 'bipartisan', 'support', 'mitch', 'mcconnel', 'real', 'chanc', 'someth', 'badli', 'need', 'countri', 'alreadi', 'past', 'big', 'vote', 'hous', 'would', 'major', 'victori']"
357,"['republican', 'democrat', 'must', 'come', 'togeth', 'final', 'major', 'border', 'secur', 'packag', 'includ', 'fund', 'wall', 'year', 'talk', 'final', 'time', 'action', 'fix', 'border']"
358,"['highli', 'train', 'secur', 'profession', 'allow', 'job', 'border', 'judici', 'activ', 'interfer', 'th', 'circuit', 'nevertheless', 'work', 'hard', 'make', 'america', 'safer', 'place', 'though', 'hard', 'anybodi', 'file', 'lawsuit', 'win']"
359,"['coldest', 'weather', 'histori', 'thanksgiv', 'day', 'parad', 'nyc', 'one', 'coldest', 'thanksgiv', 'record']"
360,[]
361,"['speak', 'great', 'militari', 'differ', 'part', 'world', 'teleconfer', 'eastern', 'see', 'coast', 'guard', 'patriot', 'amp', 'thank', 'great', 'job', 'especi', 'hurrican', 'happi', 'thanksgiv']"
362,"['safeti', 'border', 'anywher', 'els', 'know', 'noth', 'make', 'countri', 'unsaf', 'great', 'law', 'enforc', 'profession', 'must', 'allow', 'job', 'bedlam', 'chao', 'injuri', 'death', 'want', 'constitut', 'written']"
363,"['justic', 'robert', 'say', 'want', 'th', 'circuit', 'complet', 'amp', 'total', 'disast', 'control', 'horribl', 'reput', 'overturn', 'circuit', 'countri', 'amp', 'use', 'get', 'almost', 'guarante', 'result', 'judg', 'must', 'legisl', 'secur']"
364,"['happi', 'thanksgiv']"
365,"['mean', 'amp', 'nasti', 'world', 'middl', 'east', 'particular', 'long', 'histor', 'commit', 'amp', 'one', 'absolut', 'vital', 'america', 'nation', 'secur', 'agre', 'addit', 'mani', 'billion', 'dollar', 'purchas', 'made', 'u', 'big', 'job', 'amp', 'oil']"
366,"['win', 'fake', 'news', 'media', 'big', 'stori', 'today', 'push', 'hard', 'gotten', 'gasolin', 'price', 'low', 'peopl', 'drive', 'caus', 'traffic', 'jam', 'throughout', 'great', 'nation', 'sorri', 'everyon']"
367,"['brutal', 'extend', 'cold', 'blast', 'could', 'shatter', 'record', 'whatev', 'happen', 'global', 'warm']"
370,"['decis', 'overturn', 'th', 'circuit', 'terribl', 'costli', 'danger', 'disgrac', 'becom', 'dump', 'ground', 'certain', 'lawyer', 'look', 'easi', 'win', 'delay', 'much', 'talk', 'divid', 'th', 'circuit', 'circuit', 'big']"
371,"['lot', 'crimin', 'caravan', 'stop', 'catch', 'detain', 'judici', 'activ', 'peopl', 'know', 'noth', 'secur', 'safeti', 'citizen', 'put', 'countri', 'great', 'danger', 'good']"
372,"['thank', 'presid', 'trump', 'border', 'american', 'presid', 'ever', 'done', 'hector', 'garza', 'nation', 'border', 'patrol', 'council']"
373,"['mani', 'oppos', 'view', 'border', 'safeti', 'case', 'file', 'vast', 'number', 'case', 'overturn', 'pleas', 'studi', 'number', 'shock', 'need', 'protect', 'secur', 'rule', 'make', 'countri', 'unsaf', 'danger', 'unwis']"
374,"['sorri', 'chief', 'justic', 'john', 'robert', 'inde', 'obama', 'judg', 'much', 'differ', 'point', 'view', 'peopl', 'charg', 'safeti', 'countri', 'would', 'great', 'th', 'circuit', 'inde', 'independ', 'judiciari']"
375,"['great', 'new', 'book', 'mad', 'polit', 'keep', 'saniti', 'world', 'gone', 'crazi', 'loudon', 'go', 'get', 'copi', 'today', 'great', 'read']"
376,"['trump', 'imit', 'syndrom', 'afflict', 'presid', 'liber', 'enemi', 'thank', 'nypost']"
377,"['make', 'america', 'great']"
378,"['oil', 'price', 'get', 'lower', 'great', 'like', 'big', 'tax', 'cut', 'america', 'world', 'enjoy', 'thank', 'saudi', 'arabia', 'let', 'go', 'lower']"
379,"['america', 'first']"
380,"['call', 'comedian', 'michel', 'wolf', 'bomb', 'badli', 'last', 'year', 'white', 'hous', 'correspond', 'dinner', 'year', 'first', 'time', 'decad', 'author', 'instead', 'comedian', 'good', 'first', 'step', 'comeback', 'die', 'even', 'tradit', 'mayb', 'go']"
382,"['hope', 'discoveri', 'eventu', 'recoveri', 'argentin', 'submarin', 'san', 'juan', 'bring', 'need', 'closur', 'wonder', 'famili', 'brave', 'miss', 'sailor', 'look', 'forward', 'hear', 'friend', 'presid', 'argentina', 'later', 'month']"
385,"['fake', 'news', 'show', 'old', 'footag', 'peopl', 'climb', 'ocean', 'area', 'fenc', 'realli', 'look', 'like', 'climber', 'anymor', 'administr']"
386,"['longer', 'pay', 'pakistan', 'billion', 'would', 'take', 'money', 'noth', 'us', 'bin', 'laden', 'prime', 'exampl', 'afghanistan', 'anoth', 'one', 'mani', 'countri', 'take', 'unit', 'state', 'without', 'give', 'anyth', 'return', 'end']"
387,"['cours', 'captur', 'osama', 'bin', 'laden', 'long', 'point', 'book', 'attack', 'world', 'trade', 'center', 'presid', 'clinton', 'famous', 'miss', 'shot', 'paid', 'pakistan', 'billion', 'dollar', 'amp', 'never', 'told', 'us', 'live', 'fool']"
389,"['love', 'mississippi', 'great', 'u']"
391,"['day', 'one', 'rick', 'scott', 'never', 'waver', 'great', 'governor', 'even', 'greater', 'senat', 'repres', 'peopl', 'florida', 'congratul', 'rick', 'wage', 'courag', 'success', 'campaign']"
392,"['catch', 'releas', 'obsolet', 'term', 'catch', 'detain', 'illeg', 'immigr', 'tri', 'come', 'u', 'often', 'proudli', 'fli', 'flag', 'nation', 'ask', 'u', 'asylum', 'detain', 'turn', 'away', 'dem', 'must', 'approv', 'border', 'secur', 'amp', 'wall']"
394,"['mayor', 'tijuana', 'mexico', 'state', 'citi', 'ill', 'prepar', 'handl', 'mani', 'migrant', 'backlog', 'could', 'last', 'month', 'likewis', 'u', 'ill', 'prepar', 'invas', 'stand', 'caus', 'crime', 'big', 'problem', 'mexico', 'go', 'home']"
395,"['funni', 'see', 'littl', 'adam', 'schitt', 'ca', 'talk', 'fact', 'act', 'attorney', 'gener', 'matt', 'whitak', 'approv', 'senat', 'mention', 'fact', 'bob', 'mueller', 'highli', 'conflict', 'approv', 'senat']"
396,"['interview', 'chri', 'wallac', 'p', 'p', 'enjoy']"
398,"['incred', 'great', 'hero', 'today', 'california', 'alway']"
400,"['head', 'california', 'kevin', 'mccarthi', 'look', 'forward', 'brave', 'firefight', 'first', 'respond', 'along', 'mani', 'brave', 'peopl', 'california', 'way', 'god', 'bless']"
401,"['imagin', 'presid', 'better', 'closer', 'relationship', 'vice', 'presid', 'two', 'us', 'fake', 'news', 'enemi', 'peopl']"
402,"['new', 'york', 'time', 'phoni', 'stori', 'usual', 'relationship', 'mike', 'penc', 'made', 'sourc', 'refus', 'ask', 'one', 'would', 'know', 'quot']"
403,"['congratul', 'andrew', 'gillum', 'run', 'realli', 'tough', 'competit', 'race', 'governor', 'great', 'state', 'florida', 'strong', 'democrat', 'warrior', 'long', 'futur', 'forc', 'reckon']"
404,"['get', 'nanci', 'pelosi', 'mani', 'vote', 'want', 'order', 'speaker', 'hous', 'deserv', 'victori', 'earn', 'parti', 'tri', 'take', 'away', 'win']"
405,"['thank', 'look', 'forward', 'join', 'tomorrow', 'california']"
406,"['countri', 'flag', 'possibl', 'ye', 'big', 'con', 'american', 'taxpay', 'pay']"
407,"['iron', 'larg', 'caravan', 'peopl', 'march', 'border', 'want', 'u', 'asylum', 'fear', 'countri', 'yet', 'proudli', 'wave']"
408,"['congratul', 'brian', 'kemp', 'becom', 'new', 'governor', 'georgia', 'stacey', 'abram', 'fought', 'brilliantli', 'hard', 'terrif', 'polit', 'futur', 'brian', 'unrel', 'becom', 'great', 'governor', 'truli', 'wonder', 'peopl', 'georgia']"
409,"['congratul', 'ron', 'desanti', 'becom', 'new', 'governor', 'florida', 'odd', 'fought', 'amp', 'fought', 'amp', 'fought', 'result', 'histor', 'victori', 'never', 'gave', 'never', 'great', 'governor']"
410,"['presidenti', 'medal', 'freedom']"
411,"['peopl', 'told', 'republican', 'parti', 'track', 'pick', 'two', 'seat', 'u', 'senat', 'epic', 'victori', 'fake', 'news', 'media', 'want', 'speak', 'hous', 'midterm', 'result', 'better', 'sit', 'presid']"
412,"['today', 'east', 'room', 'true', 'privileg', 'award', 'seven', 'extraordinari', 'american', 'presidenti', 'medal', 'freedom']"
413,"['peopl', 'told', 'republican', 'parti', 'track', 'pick', 'two', 'seat', 'u', 'senat', 'epic', 'victori', 'fake', 'news', 'media', 'want', 'speak', 'hous', 'midterm', 'result', 'better', 'sit', 'presid']"
414,"['sacr', 'duti', 'support', 'america', 'servic', 'member', 'everi', 'singl', 'day', 'wear', 'uniform', 'everi', 'day', 'return', 'home', 'veteran', 'togeth', 'honor', 'defend', 'us', 'cherish', 'protect', 'us', 'celebr', 'amaz', 'hero']"
415,"['last', 'year', 'sign', 'landmark', 'va', 'account', 'act', 'ensur', 'mistreat', 'veteran', 'held', 'fulli', 'account', 'sinc', 'inaugur', 'remov', 'govern', 'employe', 'give', 'vet', 'care', 'deserv']"
416,"['great', 'honor', 'host', 'confer', 'support', 'veteran', 'amp', 'militari', 'famili', 'everyon', 'today', 'serv', 'countri', 'uniform', 'amp', 'everi', 'veteran', 'amp', 'militari', 'famili', 'across', 'land', 'want', 'express', 'etern', 'gratitud', 'entir', 'nation']"
417,"['melania', 'honor', 'visit', 'great', 'u', 'marin', 'marin', 'barrack', 'washington', 'c', 'love']"
418,"['collus', 'democrat', 'russia', 'mani', 'other', 'fbi', 'take', 'server', 'dnc', 'still', 'check', 'bias', 'facebook', 'googl', 'twitter', 'favor', 'democrat', 'real', 'collus']"
419,"['univers', 'someday', 'studi', 'highli', 'conflict', 'senat', 'approv', 'bob', 'mueller', 'gang', 'democrat', 'thug', 'done', 'destroy', 'peopl', 'protect', 'crook', 'hillari', 'comey', 'mccabe', 'lisa', 'page', 'amp', 'lover', 'peter', 'friend', 'side']"
420,"['care', 'mani', 'live', 'ruin', 'angri', 'peopl', 'includ', 'highli', 'conflict', 'bob', 'mueller', 'work', 'obama', 'year', 'even', 'look', 'bad', 'act', 'crime', 'side', 'total', 'witch', 'hunt', 'like', 'american', 'histori']"
421,"['inner', 'work', 'mueller', 'investig', 'total', 'mess', 'found', 'collus', 'gone', 'absolut', 'nut', 'scream', 'shout', 'peopl', 'horribl', 'threaten', 'come', 'answer', 'want', 'disgrac', 'nation']"
