,is_retweet,text
26,False,"['reason', 'daca', 'wall', 'deal', 'get', 'done', 'ridiculous', 'court', 'decision', '9th', 'circuit', 'allowed', 'daca', 'remain', 'thereby', 'setting', 'supteme', 'court', 'case', 'ruling', 'dems', 'dropped', 'deal', 'today', 'democrat', 'obstruction', 'needed', 'wall']"
27,False,"['democrats', 'finally', 'realized', 'desperately', 'need', 'border', 'security', 'wall', 'southern', 'border', 'need', 'stop', 'drugs', 'human', 'trafficking', 'gang', 'members', 'amp', 'criminals', 'coming', 'country', 'dems', 'realize', 'people', 'getting', 'paid', 'democrats']"
28,False,"['returned', 'visiting', 'troops', 'iraq', 'germany', 'one', 'thing', 'certain', 'incredible', 'people', 'representing', 'country', 'people', 'know', 'win']"
29,False,"['melania', 'honored', 'visit', 'incredible', 'troops', 'al', 'asad', 'air', 'base', 'iraq', 'god', 'bless', 'u']"
30,False,"['hope', 'everyone', 'even', 'fake', 'news', 'media', 'great', 'christmas', 'country', 'well', 'securing', 'borders', 'making', 'great', 'new', 'trade', 'deals', 'bringing', 'troops', 'back', 'home', 'finally', 'putting', 'america', 'first', 'merry', 'christmas', 'maga']"
31,False,"['merry', 'christmas']"
32,True,"['rt', 'helping', 'children', 'across', 'country', 'track', 'santa', 'becoming', 'one', 'favorite', 'traditions', 'enjoyed', 'working']"
33,False,"['oval', 'office', 'amp', 'gave', '115', 'mile', 'long', 'contract', 'another', 'large', 'section', 'wall', 'texas', 'already', 'building', 'renovating', 'many', 'miles', 'wall', 'complete', 'democrats', 'must', 'end', 'shutdown', 'finish', 'funding', 'billions', 'dollars', 'amp', 'lives', 'saved']"
34,False,"['christmas', 'eve', 'briefing', 'team', 'working', 'north', 'korea', 'progress', 'made', 'looking', 'forward', 'next', 'summit', 'chairman', 'kim']"
35,False,"['alone', 'poor', 'white', 'house', 'waiting', 'democrats', 'come', 'back', 'make', 'deal', 'desperately', 'needed', 'border', 'security', 'point', 'democrats', 'wanting', 'make', 'deal', 'cost', 'country', 'money', 'border', 'wall', 'talking', 'crazy']"
36,False,"['saudi', 'arabia', 'agreed', 'spend', 'necessary', 'money', 'needed', 'help', 'rebuild', 'syria', 'instead', 'united', 'states', 'see', 'nice', 'immensely', 'wealthy', 'countries', 'help', 'rebuild', 'neighbors', 'rather', 'great', 'country', 'u', '5000', 'miles', 'away', 'thanks', 'saudi']"
37,False,"['wall', 'different', '25', 'billion', 'dollars', 'border', 'security', 'complete', 'wall', 'built', 'shutdown', 'money', 'plus', 'funds', 'already', 'hand', 'reporting', 'inaccurate', 'point', 'problem', 'without', 'wall', 'much', 'rest', 'dollars', 'wasted']"
38,False,"['never', 'lashed', 'acting', 'attorney', 'general', 'u', 'man', 'great', 'respect', 'made', 'story', 'one', 'many', 'fake', 'news', 'media']"
39,False,"['problem', 'economy', 'fed', 'feel', 'market', 'understand', 'necessary', 'trade', 'wars', 'strong', 'dollars', 'even', 'democrat', 'shutdowns', 'borders', 'fed', 'like', 'powerful', 'golfer', 'score', 'touch', 'putt']"
40,False,"['america', 'respected']"
